<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;240821;000000;21445;21571;21102;21317;5118
MOEX;D;240822;000000;21333;21663;21208;21360;5406
MOEX;D;240823;000000;21360;21394;20655;20918;7955
MOEX;D;240826;000000;21539;22036;21131;21777;11526
MOEX;D;240827;000000;21809;21813;21169;21254;3949
MOEX;D;240828;000000;21244;21326;20950;21247;5325
MOEX;D;240829;000000;21246;21247;20857;20991;4522
MOEX;D;240830;000000;20989;21133;20291;20458;6089
MOEX;D;240902;000000;20361;20361;19312;19426;13662
MOEX;D;240903;000000;19493;19807;19125;19481;10038
MOEX;D;240904;000000;19532;20329;19439;20240;5964
MOEX;D;240905;000000;20281;20499;19750;19872;6368
MOEX;D;240906;000000;19891;20056;19458;20003;4988
MOEX;D;240909;000000;20047;21067;20047;21063;6553
MOEX;D;240910;000000;21050;21179;20402;20752;6899
MOEX;D;240911;000000;20752;20826;20440;20602;5751
MOEX;D;240912;000000;20589;20625;20173;20606;6623
MOEX;D;240913;000000;20624;21084;20292;20947;9849
MOEX;D;240916;000000;21006;21670;21006;21551;7761
MOEX;D;240917;000000;21601;21720;21387;21609;4194
MOEX;D;240918;000000;22573;22580;21726;21948;3624
MOEX;D;240919;000000;21960;22225;21749;22117;2557
MOEX;D;240920;000000;22223;22512;22193;22436;6131
MOEX;D;240923;000000;22449;22904;22401;22820;5633
MOEX;D;240924;000000;22820;22889;22335;22648;4595
MOEX;D;240925;000000;22669;23061;22420;22608;7207
MOEX;D;240926;000000;22606;22670;22213;22307;4333
MOEX;D;240927;000000;22280;22913;22000;22785;4524
MOEX;D;240930;000000;22800;23165;22630;22656;3002
MOEX;D;241001;000000;22679;22841;22286;22444;4893
MOEX;D;241002;000000;22475;22638;22058;22094;4920
MOEX;D;241003;000000;22096;22213;21680;22031;5724
MOEX;D;241004;000000;22006;22411;21893;22026;4827
MOEX;D;241007;000000;22058;22191;21660;21848;4110
MOEX;D;241008;000000;21849;22264;21741;22017;4651
MOEX;D;241009;000000;22046;22092;21850;21923;3554
MOEX;D;241010;000000;21989;22099;21790;21874;2923
MOEX;D;241011;000000;21874;21874;21312;21396;6535
MOEX;D;241014;000000;21400;21777;20796;21656;11430
MOEX;D;241015;000000;21643;21866;21502;21718;5116
MOEX;D;241016;000000;21717;21883;21498;21709;3348
MOEX;D;241017;000000;21720;21720;21329;21395;1749
MOEX;D;241018;000000;21395;21545;20973;21190;3651
MOEX;D;241021;000000;21227;21245;21102;21155;1387
MOEX;D;241022;000000;21154;21251;20926;20997;3123
MOEX;D;241023;000000;20967;20990;20672;20711;2736
MOEX;D;241024;000000;20720;20860;20405;20829;6116
MOEX;D;241025;000000;20856;21223;20488;20628;13933
MOEX;D;241028;000000;20588;20720;19738;20108;9089
MOEX;D;241029;000000;20111;20230;19689;20109;6647
MOEX;D;241030;000000;20110;20340;19732;19793;4739
MOEX;D;241031;000000;19817;19948;19096;19383;7480
MOEX;D;241101;000000;19383;19444;18977;19322;6756
