<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;D;240213;000000;91985;92355;91811;92028;653896
Si;D;240214;000000;92078;92551;91959;92367;653793
Si;D;240215;000000;92390;93173;92183;92934;900648
Si;D;240216;000000;92993;93443;92277;92519;1342145
Si;D;240219;000000;92558;93120;92545;92990;681571
Si;D;240220;000000;93098;93127;92559;92746;734382
Si;D;240221;000000;92699;93265;92571;93153;996511
Si;D;240222;000000;93212;93617;91990;93330;1640029
Si;D;240226;000000;93284;93284;92180;92604;798693
Si;D;240227;000000;92604;92810;92238;92577;557101
Si;D;240228;000000;92663;92697;91609;91710;881571
Si;D;240229;000000;91740;91899;91071;91490;931363
Si;D;240301;000000;91628;92368;91628;92156;609735
Si;D;240304;000000;92154;92200;91485;91645;579661
Si;D;240305;000000;91706;91836;91051;91104;617560
Si;D;240306;000000;91186;91472;90692;91238;753363
Si;D;240307;000000;91249;91695;91110;91239;701617
Si;D;240311;000000;91272;91323;90779;91027;583909
Si;D;240312;000000;91023;92220;90961;92178;816204
Si;D;240313;000000;92134;92160;91542;91815;704369
Si;D;240314;000000;91829;92260;91763;91970;707933
Si;D;240315;000000;92042;93049;91869;92860;728532
Si;D;240318;000000;92933;93000;91456;92037;883903
Si;D;240319;000000;92042;92943;91888;92702;757951
Si;D;240320;000000;94848;95251;94578;94900;534511
Si;D;240321;000000;94817;95113;93901;94597;1099740
Si;D;240322;000000;94707;96085;94584;95705;928730
Si;D;240325;000000;95667;95670;94870;95318;802391
Si;D;240326;000000;95313;95320;94700;95129;602910
Si;D;240327;000000;95129;95308;94218;94377;927525
Si;D;240328;000000;94374;94899;94308;94712;733428
Si;D;240329;000000;94826;94844;94050;94513;1080809
Si;D;240401;000000;94500;94838;94255;94724;623515
Si;D;240402;000000;94777;95188;94565;94797;660272
Si;D;240403;000000;94790;94990;94207;94631;695276
Si;D;240404;000000;94631;94737;94320;94445;515033
Si;D;240405;000000;94476;94991;94475;94669;596669
Si;D;240408;000000;94676;94923;94552;94814;482746
Si;D;240409;000000;94815;95235;94767;95125;466137
Si;D;240410;000000;95142;95858;95077;95680;680215
Si;D;240411;000000;95671;96131;95057;95287;766175
Si;D;240412;000000;95356;95600;95000;95140;604041
Si;D;240415;000000;95123;95499;95001;95396;423914
Si;D;240416;000000;95543;96300;95465;96155;782172
Si;D;240417;000000;96180;96279;95682;95855;573839
Si;D;240418;000000;95864;96050;95059;95144;781680
Si;D;240419;000000;95141;95326;94405;94610;709720
Si;D;240422;000000;94675;94877;94310;94631;464453
Si;D;240423;000000;94666;94691;94156;94265;475964
Si;D;240424;000000;94263;94266;93665;93726;631913
Si;D;240425;000000;93745;94045;93560;93660;629061
Si;D;240426;000000;93727;93980;92767;93190;889240
Si;D;240427;000000;93180;93987;93076;93876;370255
Si;D;240429;000000;93960;94720;93869;94130;392531
Si;D;240430;000000;94303;94648;94011;94198;333029
Si;D;240502;000000;94167;94167;93121;93450;752635
Si;D;240503;000000;93451;93480;93047;93193;617359
Si;D;240506;000000;93263;93465;92345;92846;677472
Si;D;240507;000000;92848;92990;92400;92799;532861
Si;D;240508;000000;92902;93475;92685;93199;778232
Si;D;240510;000000;93227;93719;93000;93350;328460
Si;D;240513;000000;93373;93504;92438;92501;676614
Si;D;240514;000000;92526;92870;92325;92573;523926
Si;D;240515;000000;92550;92600;91886;92020;660256
Si;D;240516;000000;92040;92202;91702;91875;499581
Si;D;240517;000000;91931;92078;91668;91728;488475
Si;D;240520;000000;91770;91920;91122;91615;589960
Si;D;240521;000000;91593;91593;90714;90867;552418
Si;D;240522;000000;90829;91209;90487;91137;537277
Si;D;240523;000000;91146;91234;90601;90649;439171
Si;D;240524;000000;90682;90684;90040;90334;554450
Si;D;240527;000000;90275;90334;89064;89172;632541
Si;D;240528;000000;89223;89713;89010;89521;616497
Si;D;240529;000000;89560;90792;89539;90450;826777
Si;D;240530;000000;90600;90845;90341;90705;638716
Si;D;240531;000000;90906;91062;90202;90220;579926
Si;D;240603;000000;90404;90680;89280;89607;823677
Si;D;240604;000000;89727;89848;88940;89288;653250
Si;D;240605;000000;89292;89512;88868;89096;574574
Si;D;240606;000000;89119;89593;88811;89001;777985
Si;D;240607;000000;89078;89948;88784;89405;918985
Si;D;240610;000000;89590;89719;88546;88800;581774
Si;D;240611;000000;88833;89553;88738;89371;635337
Si;D;240613;000000;88999;89250;85888;88848;1398426
Si;D;240614;000000;88848;89433;88639;89140;637033
Si;D;240617;000000;89156;89324;87165;87410;714981
Si;D;240618;000000;87407;87750;85011;85251;925707
Si;D;240619;000000;85530;85600;81910;82116;877621
Si;D;240620;000000;82100;87888;81536;87617;1320477
Si;D;240621;000000;87604;88990;85650;86984;1175816
Si;D;240624;000000;86900;87650;85280;85400;742800
Si;D;240625;000000;85427;87070;85101;86862;612905
Si;D;240626;000000;86961;87416;85503;85715;609336
Si;D;240627;000000;85697;86322;84141;85641;817871
Si;D;240628;000000;85640;87295;85214;87130;789270
Si;D;240701;000000;87201;87800;86911;87702;564416
Si;D;240702;000000;87749;88579;87300;87575;715333
Si;D;240703;000000;87492;88940;87351;88628;574324
Si;D;240704;000000;88628;89817;88628;89581;440345
Si;D;240705;000000;89585;89800;88100;89102;650629
Si;D;240708;000000;89103;89637;88406;88678;501137
Si;D;240709;000000;88698;89041;87576;87970;629893
Si;D;240710;000000;88018;89176;87805;88975;554886
Si;D;240711;000000;88975;89374;88531;88673;525607
Si;D;240712;000000;88681;89144;88596;88810;398444
Si;D;240715;000000;88901;89335;88035;89129;640644
Si;D;240716;000000;89128;89350;88525;88816;422395
Si;D;240717;000000;88855;89070;87904;87904;411739
Si;D;240718;000000;87967;88465;87808;88440;449881
Si;D;240719;000000;88461;88845;87762;87959;445314
Si;D;240722;000000;87940;88523;87732;88445;364028
Si;D;240723;000000;88439;88449;87220;87532;399794
Si;D;240724;000000;87532;87532;86800;86880;305076
Si;D;240725;000000;86850;86860;86010;86409;464865
Si;D;240726;000000;86340;87615;86152;87300;723640
Si;D;240729;000000;87287;87599;86516;86692;374431
Si;D;240730;000000;86720;87330;86650;87130;378225
Si;D;240731;000000;87128;87250;86029;86280;532405
Si;D;240801;000000;86299;86650;85600;85867;416044
Si;D;240802;000000;85752;86492;85506;85976;543040
Si;D;240805;000000;85983;86242;84941;85795;576979
Si;D;240806;000000;85816;86386;85183;86284;536605
Si;D;240807;000000;86452;86491;85900;86207;412174
Si;D;240808;000000;86225;86876;86000;86509;522071
Si;D;240809;000000;86511;87020;86320;86582;515751
Si;D;240812;000000;86636;89100;86403;88715;913243
Si;D;240813;000000;88768;89890;88570;89527;1067129
Si;D;240814;000000;89550;89925;87567;87717;798872
Si;D;240815;000000;87697;88420;87334;88020;537274
Si;D;240816;000000;88018;88609;87630;88249;468369
Si;D;240819;000000;88253;88774;88038;88497;388517
Si;D;240820;000000;88497;89330;88000;89061;503950
Si;D;240821;000000;89129;89548;88556;88860;461764
Si;D;240822;000000;88884;88950;87289;87767;623615
Si;D;240823;000000;87777;89045;87467;88603;661800
Si;D;240826;000000;88694;89651;88213;89113;659823
Si;D;240827;000000;89105;89789;88760;89600;526971
Si;D;240828;000000;89600;89967;88934;89412;522477
Si;D;240829;000000;89413;90125;89303;89977;653571
Si;D;240830;000000;89987;90444;89400;89775;476742
Si;D;240902;000000;89695;89901;88550;88776;536453
Si;D;240903;000000;88808;88932;87605;87635;658193
Si;D;240904;000000;87737;89028;87640;88797;898468
Si;D;240905;000000;88803;89150;88129;88415;648170
Si;D;240906;000000;88400;89438;88270;89244;544247
Si;D;240909;000000;89273;90200;89214;90161;426061
Si;D;240910;000000;90177;90650;89925;90408;392813
Si;D;240911;000000;90384;90578;89531;89876;608029
Si;D;240912;000000;89907;90500;89876;90272;386823
Si;D;240913;000000;90272;90549;89710;90470;395236
Si;D;240916;000000;90460;91398;90423;91153;471370
Si;D;240917;000000;91131;91296;90450;90850;483742
Si;D;240918;000000;91936;92280;91001;91550;427434
Si;D;240919;000000;91531;92139;91144;91438;640932
Si;D;240920;000000;91459;92830;91190;92670;665648
Si;D;240923;000000;92670;92850;92114;92530;366280
Si;D;240924;000000;92531;92850;91545;91583;557165
Si;D;240925;000000;91618;92099;91160;91858;356389
Si;D;240926;000000;91839;92404;91609;92258;387517
Si;D;240927;000000;92258;92800;92200;92740;375520
Si;D;240930;000000;92747;93100;92565;93031;390031
Si;D;241001;000000;93033;93741;92701;93701;450760
